Edad;Duración;Destino;Tipo de dato;Periodo;Total
De 15 a 24 años;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 15 a 24 años;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 15 a 24 años;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 15 a 24 años;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 25 a 34 años;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 25 a 34 años;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 25 a 34 años;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 25 a 34 años;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 35 a 44 años;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 35 a 44 años;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 35 a 44 años;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 35 a 44 años;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 45 a 54 años;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 45 a 54 años;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 45 a 54 años;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 45 a 54 años;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 55 a 64 años;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 55 a 64 años;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
De 55 a 64 años;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
De 55 a 64 años;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
65 y más años;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
65 y más años;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
65 y más años;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;""
65 y más años;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros ;2023;""
