Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2023;81.330.805
Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2023;43,8
Dentro de la Comunidad Autónoma;Viajes;Variación anual;2023;2,87
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2023;2,96
Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2023;""
Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2023;-4,76
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2023;240.473.683
Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2023;30,0
Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2023;-2,02
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2023;11.273.027,78
Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2023;19,20
Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2023;7,25
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2023;138,61
Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2023;""
Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2023;4,25
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2023;46,88
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2023;""
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2023;9,46
